"StateAbbr","Year","State","Population","people_per_state","ratio"
"AK",2018,"Alaska",735139,241,0.0327829158839349
"AK",2019,"Alaska",731545,438,0.0598732818896992
"AK",2020,"Alaska",732923,415,0.05662259200489
"AK",2021,"Alaska",734182,768,0.104606214807772
"AK",2022,"Alaska",733583,64,0.00872430249883108
"AL",2020,"Alabama",5031362,632,0.0125612110597488
"AL",2021,"Alabama",5049846,1203,0.0238225086467983
"AL",2022,"Alabama",5074296,44,0.000867115359450848
"AR",2018,"Arkansas",3009733,510,0.016945024691559
"AR",2019,"Arkansas",3017804,1294,0.0428788615827933
"AR",2020,"Arkansas",3014195,1964,0.0651583590311841
"AR",2021,"Arkansas",3028122,2250,0.0743034791861094
"AR",2022,"Arkansas",3045637,72,0.00236403747393402
"AZ",2018,"Arizona",7158024,906,0.0126571243684011
"AZ",2019,"Arizona",7278717,1861,0.0255676927678326
"AZ",2020,"Arizona",7179943,1955,0.027228628416688
"AZ",2021,"Arizona",7264877,2484,0.0341919071720003
"AZ",2022,"Arizona",7359197,189,0.00256821498323798
"CA",2020,"California",39501653,720,0.00182270853323531
"CA",2021,"California",39142991,3232,0.00825690607036136
"CA",2022,"California",39029342,161,0.000412510157101803
"CT",2016,"Connecticut",3578141,31,0.000866371671770341
"CT",2017,"Connecticut",3573297,209,0.00584894006851376
"CT",2018,"Connecticut",3571520,65,0.00181995340919272
"CT",2019,"Connecticut",3565287,285,0.00799374636600083
"CT",2020,"Connecticut",3597362,744,0.0206818218461195
"CT",2021,"Connecticut",3623355,1732,0.047801002109923
"CT",2022,"Connecticut",3626205,66,0.00182008463393548
"FL",2018,"Florida",21244317,6592,0.0310294748473203
"FL",2019,"Florida",21477737,9956,0.0463549767836341
"FL",2020,"Florida",21589602,14179,0.0656751337982053
"FL",2021,"Florida",21828069,15176,0.0695251604711347
"FL",2022,"Florida",22244823,423,0.00190156604078171
"GA",2018,"Georgia",10511131,498,0.00473783458697261
"GA",2019,"Georgia",10617423,831,0.00782675796188962
"GA",2020,"Georgia",10729828,2870,0.026747865855818
"GA",2021,"Georgia",10788029,4434,0.0411011130948944
"GA",2022,"Georgia",10912876,89,0.000815550364541849
"HI",2018,"Hawaii",1420593,595,0.0418839174907943
"HI",2019,"Hawaii",1415872,748,0.0528296343172264
"HI",2020,"Hawaii",1451043,2059,0.14189793135007
"HI",2021,"Hawaii",1447154,2017,0.139377011707116
"HI",2022,"Hawaii",1440196,68,0.00472157956278173
"IA",2018,"Iowa",3148618,345,0.0109571882012997
"IA",2019,"Iowa",3155070,757,0.0239931285201279
"IA",2020,"Iowa",3190571,808,0.0253246205773199
"IA",2021,"Iowa",3197689,791,0.0247366144737653
"IA",2022,"Iowa",3200517,35,0.00109357331956056
"IL",2018,"Illinois",12723071,3018,0.0237206881891958
"IL",2019,"Illinois",12671821,4170,0.0329076618111951
"IL",2020,"Illinois",12786580,9205,0.0719895390323292
"IL",2021,"Illinois",12686469,12393,0.0976867558656392
"IL",2022,"Illinois",12582032,527,0.00418851263452517
"IN",2018,"Indiana",6695497,2433,0.0363378551286036
"IN",2019,"Indiana",6732219,5342,0.0793497656567619
"IN",2020,"Indiana",6788799,7652,0.112715076702079
"IN",2021,"Indiana",6813532,6041,0.0886617983154699
"IN",2022,"Indiana",6833037,325,0.00475630382215112
"KS",2018,"Kansas",2911359,195,0.00669790293811241
"KS",2019,"Kansas",2913314,110,0.00377576876368287
"LA",2018,"Louisiana",4659690,1150,0.0246797533741515
"LA",2019,"Louisiana",4648794,2049,0.0440759474392713
"LA",2020,"Louisiana",4651664,2982,0.0641060919275339
"LA",2021,"Louisiana",4627098,3174,0.0685959104388971
"LA",2022,"Louisiana",4590241,121,0.00263602717155809
"MA",2016,"Massachusetts",6823608,343,0.00502666624460256
"MA",2017,"Massachusetts",6859789,3916,0.0570863039664923
"MA",2018,"Massachusetts",6882635,3372,0.0489928639249357
"MA",2019,"Massachusetts",6892503,4570,0.066303924713562
"MA",2020,"Massachusetts",6995729,5795,0.082836256235769
"MA",2021,"Massachusetts",6989690,5333,0.0762980904732542
"MA",2022,"Massachusetts",6981974,225,0.00322258432930286
"MD",2016,"Maryland",6003323,200,0.00333148824409415
"MD",2017,"Maryland",6023868,790,0.0131144971968177
"MD",2018,"Maryland",6035802,1113,0.018439968706727
"MD",2019,"Maryland",6045680,865,0.0143077370949174
"MD",2020,"Maryland",6173205,1333,0.0215933214594364
"MD",2021,"Maryland",6174610,1265,0.0204871238831278
"MD",2022,"Maryland",6164660,27,0.000437980359014122
"ME",2017,"Maine",1334612,195,0.0146109880624481
"ME",2018,"Maine",1339057,1919,0.143309806826744
"ME",2019,"Maine",1344212,1843,0.137106349296093
"ME",2020,"Maine",1363557,4019,0.294743820757035
"ME",2021,"Maine",1377238,2078,0.150881692198444
"ME",2022,"Maine",1385340,49,0.00353703783908643
"MI",2018,"Michigan",9984072,774,0.00775234793979851
"MO",2018,"Missouri",6121623,2563,0.0418679817427502
"MO",2019,"Missouri",6137428,4302,0.0700945086443377
"MO",2020,"Missouri",6153998,6048,0.0982775750008369
"MO",2021,"Missouri",6169823,6727,0.109030680458742
"MO",2022,"Missouri",6177957,219,0.00354486118954858
"MS",2018,"Mississippi",2981020,360,0.0120764033787093
"MS",2019,"Mississippi",2976149,1062,0.0356836972880054
"MS",2020,"Mississippi",2958141,547,0.0184913430428097
"MS",2021,"Mississippi",2949586,1075,0.0364457927315901
"MS",2022,"Mississippi",2940057,39,0.00132650489429287
"NC",2018,"North Carolina",10381615,1296,0.0124836068376645
"NC",2019,"North Carolina",10488084,3166,0.0301866384746728
"NC",2020,"North Carolina",10449445,5801,0.0555149101220208
"NC",2021,"North Carolina",10565885,5490,0.0519596796671552
"NC",2022,"North Carolina",10698973,220,0.00205627213004463
"NE",2018,"Nebraska",1925614,914,0.0474653798736403
"NE",2019,"Nebraska",1934408,1342,0.0693752300445408
"NE",2020,"Nebraska",1962642,2082,0.106081496268805
"NE",2021,"Nebraska",1963554,2016,0.102670973143596
"NE",2022,"Nebraska",1967923,126,0.00640268953612514
"NH",2019,"New Hampshire",1359711,510,0.0375079704437193
"NH",2020,"New Hampshire",1378587,1247,0.0904549368302472
"NH",2021,"New Hampshire",1387505,1636,0.117909485010865
"NH",2022,"New Hampshire",1395231,59,0.00422869044624152
"NJ",2020,"New Jersey",9271689,929,0.0100197493682111
